log start...
09:39:58.706..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:59.230..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:59.745..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:00.262..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:00.792..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:01.309..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:01.823..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:02.340..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:02.896..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:03.448..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:03.967..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:04.546..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:05.064..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:05.615..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:06.151..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:06.665..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:07.181..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:07.699..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:08.215..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:08.747..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:09.263..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:09.778..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:10.294..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:10.807..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:11.323..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:11.838..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:12.350..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:12.863..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:13.379..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:13.905..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:14.418..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:14.934..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:15.448..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:15.959..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:16.475..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:16.990..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:17.507..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:18.024..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:18.540..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:19.058..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:19.576..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:20.092..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:20.607..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:21.124..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:21.640..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:22.157..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:22.674..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:23.190..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:23.708..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:24.229..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:24.822..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:25.336..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:25.855..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:26.371..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:26.887..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:27.403..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:27.920..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:28.436..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:28.963..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:29.484..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:29.997..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:30.513..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:31.028..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:31.547..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:32.084..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:32.596..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:33.112..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:33.629..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:34.145..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:34.660..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:35.175..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:35.692..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:36.207..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:36.721..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:37.237..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:37.753..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:38.269..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:38.785..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:39.301..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:39.816..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:40.330..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:40.845..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:41.361..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:41.877..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:42.394..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:42.912..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:43.428..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:43.943..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:44.459..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:44.972..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:45.484..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:46.002..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:46.520..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:47.037..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:47.553..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:48.069..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:48.585..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:49.101..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:49.617..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:50.133..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:50.649..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:51.166..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:51.684..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:52.199..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:52.715..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:53.232..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:53.748..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:54.264..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:54.780..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:55.296..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:55.809..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:56.326..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:56.843..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:57.359..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:57.876..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:58.392..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:58.907..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:59.421..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:59.937..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:00.457..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:00.973..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:01.489..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:02.005..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:02.521..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:03.037..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:03.555..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:04.071..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:04.587..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:05.103..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:05.622..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:06.141..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:06.657..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:07.174..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:07.690..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:08.206..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:08.721..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:09.237..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:09.753..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:10.269..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:10.786..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:11.298..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:11.817..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:12.333..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:12.849..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:13.365..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:13.881..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:14.398..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:14.917..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:15.435..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:15.952..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:16.469..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:16.985..[local]..get hq running..cli_thread_getlastPrice-1111
09:41:17.503..[local]..get hq running..cli_thread_getlastPrice-1111
