log start...
10:16:42.102..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:42.645..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:43.194..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:43.738..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:44.286..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:44.832..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:45.378..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:45.923..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:46.472..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:47.017..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:47.559..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:48.104..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:48.649..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:49.195..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:49.740..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:50.286..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:50.832..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:51.380..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:51.927..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:52.475..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:53.020..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:53.560..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:54.105..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:54.651..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:55.196..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:55.743..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:56.291..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:56.837..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:57.381..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:57.926..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:58.473..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:59.019..[local]..get hq running..cli_thread_getlastPrice-1111
10:16:59.562..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:00.105..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:00.652..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:01.198..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:01.744..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:02.291..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:02.835..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:03.383..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:03.927..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:04.475..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:05.020..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:05.567..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:06.112..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:06.656..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:07.205..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:07.749..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:08.295..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:08.839..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:09.384..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:09.932..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:10.483..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:11.030..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:11.576..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:12.123..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:12.667..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:13.212..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:13.757..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:14.301..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:14.846..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:15.392..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:15.940..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:16.486..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:17.032..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:17.577..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:18.123..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:18.665..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:19.212..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:19.758..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:20.305..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:20.853..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:21.403..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:21.950..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:22.496..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:23.043..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:23.590..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:24.134..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:24.683..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:25.229..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:25.776..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:26.327..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:26.875..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:27.420..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:27.963..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:28.510..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:29.055..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:29.601..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:30.146..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:30.692..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:31.239..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:31.784..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:32.326..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:32.871..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:33.419..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:33.971..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:34.589..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:35.137..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:35.683..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:36.269..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:36.821..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:37.366..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:37.911..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:38.459..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:38.998..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:39.542..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:40.087..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:40.634..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:41.178..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:41.723..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:42.269..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:42.814..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:43.361..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:43.903..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:44.449..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:44.993..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:45.541..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:46.087..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:46.633..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:47.182..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:47.734..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:48.280..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:48.820..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:49.366..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:49.913..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:50.467..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:51.023..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:51.557..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:52.106..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:52.650..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:53.201..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:53.756..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:54.303..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:54.846..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:55.392..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:55.934..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:56.481..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:57.029..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:57.578..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:58.124..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:58.667..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:59.211..[local]..get hq running..cli_thread_getlastPrice-1111
10:17:59.762..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:00.308..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:00.862..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:01.412..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:01.954..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:02.486..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:03.027..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:03.571..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:04.119..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:04.665..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:05.214..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:05.759..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:06.307..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:06.856..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:07.403..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:07.950..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:08.498..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:09.043..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:09.591..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:10.130..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:10.677..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:11.221..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:11.762..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:12.307..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:12.852..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:13.399..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:14.028..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:14.581..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:15.131..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:15.677..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:16.219..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:16.763..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:17.309..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:17.857..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:18.400..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:18.945..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:19.488..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:20.034..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:20.576..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:21.124..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:21.668..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:22.213..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:22.759..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:23.305..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:23.847..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:24.393..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:24.942..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:25.488..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:26.034..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:26.579..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:27.126..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:27.673..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:28.218..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:28.765..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:29.311..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:29.858..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:30.403..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:30.948..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:31.494..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:32.041..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:32.588..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:33.135..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:33.680..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:34.226..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:34.776..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:35.316..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:35.871..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:36.412..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:36.963..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:37.514..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:38.065..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:38.602..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:39.143..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:39.676..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:40.215..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:40.761..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:41.305..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:41.850..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:42.396..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:42.944..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:43.491..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:44.036..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:44.581..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:45.125..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:45.670..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:46.215..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:46.761..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:47.307..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:47.854..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:48.408..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:48.958..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:49.499..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:50.047..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:50.595..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:51.146..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:51.693..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:52.229..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:52.770..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:53.318..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:53.865..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:54.411..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:54.955..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:55.501..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:56.049..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:56.594..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:57.140..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:57.685..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:58.232..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:58.778..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:59.323..[local]..get hq running..cli_thread_getlastPrice-1111
10:18:59.865..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:00.412..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:00.957..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:01.506..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:02.050..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:02.592..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:03.138..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:03.683..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:04.227..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:04.772..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:05.313..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:05.857..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:06.398..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:06.944..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:07.491..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:08.034..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:08.581..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:09.124..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:09.669..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:10.214..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:10.762..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:11.310..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:11.856..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:12.406..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:12.950..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:13.494..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:14.040..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:14.587..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:15.133..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:15.678..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:16.225..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:16.767..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:17.312..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:17.861..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:18.405..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:18.951..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:19.496..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:20.043..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:20.588..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:21.133..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:21.681..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:22.224..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:22.767..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:23.312..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:23.855..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:24.410..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:24.958..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:25.503..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:26.051..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:26.597..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:27.142..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:27.683..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:28.228..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:28.768..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:29.312..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:29.858..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:30.402..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:30.945..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:31.497..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:32.045..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:32.589..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:33.134..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:33.678..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:34.221..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:34.768..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:35.315..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:35.859..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:36.406..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:36.957..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:37.508..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:38.051..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:38.595..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:39.140..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:39.687..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:40.235..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:40.780..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:41.326..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:41.868..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:42.414..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:42.960..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:43.511..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:44.056..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:44.601..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:45.148..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:45.696..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:46.242..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:46.788..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:47.335..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:47.882..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:48.428..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:48.973..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:49.520..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:50.066..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:50.609..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:51.155..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:51.700..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:52.246..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:52.790..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:53.336..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:53.879..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:54.424..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:54.968..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:55.512..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:56.057..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:56.604..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:57.148..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:57.693..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:58.237..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:58.782..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:59.329..[local]..get hq running..cli_thread_getlastPrice-1111
10:19:59.874..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:00.415..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:00.960..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:01.506..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:02.052..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:02.596..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:03.142..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:03.686..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:04.231..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:04.778..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:05.321..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:05.867..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:06.411..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:06.958..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:07.504..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:08.050..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:08.595..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:09.141..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:09.686..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:10.234..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:10.780..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:11.325..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:11.870..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:12.417..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:12.963..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:13.509..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:14.056..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:14.600..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:15.144..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:15.689..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:16.232..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:16.776..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:17.321..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:17.867..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:18.409..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:18.957..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:19.503..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:20.047..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:20.592..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:21.139..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:21.682..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:22.228..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:22.773..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:23.317..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:23.859..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:24.408..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:24.953..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:25.498..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:26.048..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:26.592..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:27.139..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:27.687..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:28.235..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:28.782..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:29.325..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:29.871..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:30.416..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:30.962..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:31.508..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:32.055..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:32.602..[local]..get hq running..cli_thread_getlastPrice-1111
10:20:33.148..[local]..get hq running..cli_thread_getlastPrice-1111
