log start...
09:36:56.753..[local]..get hq running..cli_thread_getlastPrice-1111
09:36:57.299..[local]..get hq running..cli_thread_getlastPrice-1111
09:36:57.845..[local]..get hq running..cli_thread_getlastPrice-1111
09:36:58.391..[local]..get hq running..cli_thread_getlastPrice-1111
09:36:58.937..[local]..get hq running..cli_thread_getlastPrice-1111
09:36:59.483..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:00.029..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:00.575..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:01.121..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:01.667..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:02.213..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:02.759..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:03.305..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:03.851..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:04.397..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:04.943..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:05.489..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:06.035..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:06.581..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:07.127..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:07.673..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:08.219..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:08.765..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:09.284..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:09.854..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:10.754..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:11.419..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:11.977..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:12.524..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:13.070..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:13.616..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:14.162..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:14.708..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:15.254..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:15.800..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:16.346..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:16.892..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:17.438..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:17.984..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:18.530..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:19.045..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:19.555..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:20.065..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:20.600..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:21.145..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:21.695..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:22.241..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:22.787..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:23.333..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:23.879..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:24.425..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:24.971..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:25.517..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:26.063..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:26.609..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:27.155..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:27.701..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:28.251..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:28.797..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:29.295..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:29.805..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:30.315..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:30.883..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:31.429..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:32.090..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:32.636..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:33.182..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:33.728..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:34.274..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:34.820..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:35.366..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:35.912..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:36.458..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:37.004..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:37.550..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:38.096..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:38.642..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:39.157..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:39.667..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:40.175..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:40.712..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:41.258..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:41.804..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:42.350..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:42.896..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:43.442..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:43.988..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:44.534..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:45.080..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:45.626..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:46.172..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:46.718..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:47.264..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:47.810..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:48.356..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:48.902..[local]..get hq running..cli_thread_getlastPrice-1111
09:37:49.400..[local]..get hq running..cli_thread_getlastPrice-1111
